 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Lukas Sunesson","Marquette","Sr.","F","18","7","3","17","0.94"
"","Ousmane Sylla","Clemson","Jr.","M","18","5","7","17","0.94"
"133","Sam Donnellan","Delaware","Fr.","F","17","8","0","16","0.94"
"","Max Hamelink","San Francisco","Jr.","M","17","7","2","16","0.94"
"","Conor Kelly","NC State","Sr.","M","17","7","2","16","0.94"
"","Emil Lindgren Pedersen","Milwaukee","Fr.","F","17","6","4","16","0.94"
"","Daniel Russo","Notre Dame","Jr.","F","17","6","4","16","0.94"
"","Antek Sienkiel","St. John's (NY)","Sr.","M","17","7","2","16","0.94"
"","Thomas Storødegård","Siena","So.","F","17","8","0","16","0.94"
"140","Jamin Gogo Peters","Brown","Fr.","F","16","7","1","15","0.94"
"","Timo Hummrich","Fordham","Sr.","D","16","6","3","15","0.94"
"","Kazuki Kimura","Kansas City","Sr.","M","16","6","3","15","0.94"
"","Christian Koffi","Kansas City","Jr.","F","16","5","5","15","0.94"
"","Balthi Saunders","Villanova","So.","F","16","3","9","15","0.94"
"145","Luke Eberle","Liberty","So.","M","15","6","2","14","0.93"
"","Fahmi Ibrahim","California","Sr.","F","15","7","0","14","0.93"
"","Andres Mata","Stetson","Fr.","M","15","6","2","14","0.93"
"148","Sean Karani","Temple","Jr.","F","12","3","5","11","0.92"
"149","Sam Bassett","Denver","So.","M","22","7","6","20","0.91"
"150","Enzo Mauriz","Kentucky","Jr.","M","21","7","5","19","0.90"
"","Dylan Sing","Western Mich.","Sr.","M","21","6","7","19","0.90"
Reclassifying
"NR","Juri  Schlingmann","Merrimack","Sr.","F","17","10","4","24","1.41"
"NR","Felipe Mendonca","Queens (NC)","Sr.","F","13","7","3","17","1.31"
"NR","Johan Feilscher","Merrimack","Sr.","F","17","7","4","18","1.06"

NCAA Men's Soccer
Division IShutouts
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Shutouts"
"1","Eliot Hamill","Duke","Sr.","GK","19","12"
"","Harry Townsend","Missouri St.","Jr.","GK","18","12"
"3","Ryan Bilichuk","Elon","Sr.","GK","19","11"
"","Jassem Koleilat","New Hampshire","Sr.","GK","20","11"
"","Hunter Morse","Western Mich.","Sr.","GK","21","11"
"6","Isaac Nehme","Denver","Fr.","GK","21","10"
"","Russell Shealy","Syracuse","Sr.","GK","24","10"
"8","Spencer King","FDU","Sr.","GK","17","9"
"","Nathan Silveira","Vermont","Sr.","GK","21","9"
"10","Joseph Andema","Clemson","Fr.","GK","16","8"
"","Holden Brown","Virginia","So.","GK","19","8"
"","Nate Crockford","UCLA","So.","GK","19","8"
"","Pierce Holbrook","Navy","So.","GK","19","8"
"","Cole Jensen","Xavier","Sr.","GK","18","8"
"","Simon Jillson","Loyola Chicago","Sr.","GK","18","8"
"","Francesco Montali","Boston U.","Sr.","GK","16","8"
"","Gabriel Perrotta","UNCW","Sr.","GK","17","8"
"","Michael Sibley","Lipscomb","Sr.","GK","19","8"
"","Leo Stritter","Presbyterian","Fr.","GK","16","8"
"","David Sweeney","San Jose St.","Sr.","GK","19","8"
"","George Tasouris","Portland","Sr.","GK","21","8"
"","Holden Trent","High Point","Sr.","GK","21","8"
"","Alex Vidizzoni","Evansville","Sr.","GK","17","8"
"","Shafique Wilson","UAlbany","Jr.","GK","15","8"
"","Joe van der Sar","Pittsburgh","Sr.","GK","22","8"
"26","Juan Alfaro Monge","Iona","So.","GK","17","7"
"","Trace Alphin","Wake Forest","So.","GK","19","7"
"","Mitch Budler","Akron","Fr.","GK","20","7"
"","Dario Caetano","Dayton","Jr.","GK","17","7"
